movie_id,title,release_date,popularity,vote_average,primary_genre
1054867,One Battle After Another,2025-09-23,17.4105,7.346,Thriller
1476682,Gail Daughtry and the Celebrity Sex Pass,2026-07-10,4.9912,0.0,Comedy
911430,F1,2025-06-25,30.7152,7.806,Action
1384216,The Dog Stars,2026-08-26,9.5457,0.0,Adventure
1234821,Jurassic World Rebirth,2025-06-23,33.5129,6.272,Science Fiction
1468683,Heartstopper Forever,2026-07-16,5.9647,0.0,Drama
1225435,Band on the Run,2024-10-24,0.52,6.0,Comedy
1584215,The Internship,2026-01-13,25.3988,6.802,Action
1380316,Is God Is,2026-05-14,7.1884,6.2,Drama
1223601,Sisu: Road to Revenge,2025-10-21,13.4019,7.313,Action
1318435,Queens of the Dead,2025-10-24,2.4811,5.8,Horror
1281331,The Social Reckoning,2026-10-07,3.5874,0.0,Drama
1185806,PAW Patrol: The Dino Movie,2026-07-31,7.8422,0.0,Adventure
1291595,Insidious: Out of the Further,2026-08-19,5.3856,0.0,Horror
1538497,Hexed,2026-11-25,8.4448,0.0,Adventure
1368881,Ladies First,2026-05-21,10.023,6.009,Comedy
1241982,Moana 2,2024-11-21,27.1732,7.006,Adventure
1291659,The Wizard of the Kremlin,2026-01-21,6.6522,6.5,Drama
680493,Return to Silent Hill,2026-01-21,24.259,5.369,Mystery
1693002,The Murder of Rachel Nickell,2026-06-04,1.8506,6.114,Documentary
1293162,Thieves Highway,2026-05-10,10.1213,7.75,Crime
1193501,Whistle,2026-01-20,13.4801,6.327,Horror
1124566,Sentimental Value,2025-08-20,8.3054,7.448,Drama
1380291,Tom Clancy's Jack Ryan: Ghost War,2026-05-20,73.2,7.026,Action
1263337,Heart of the Beast,2026-09-23,9.6285,0.0,Action
1523145,Your Heart Will Be Broken,2026-03-26,208.3014,7.024,Romance
1686875,The Love Heist,2026-06-20,1.1665,4.0,Romance
402431,Wicked,2024-10-16,15.6033,6.908,Drama
1525703,We're So Dead,2025-11-21,0.9728,0.0,Comedy
1559575,Kafir: The Spirit Gate,2026-01-29,8.7637,6.0,Horror
87513,Motor City,2026-07-23,6.1963,0.0,Action
729684,Fox Hunt,2025-04-04,5.0649,5.6,Action
1628448,Maa Behen,2026-06-04,17.2666,6.769,Comedy
1234821,Jurassic World Rebirth,2025-06-23,33.5129,6.272,Science Fiction
1317149,I Swear,2025-09-22,15.9054,8.239,Drama
1391074,Busboys,2026-04-17,3.7422,4.3,Comedy
1491621,Bare Skin,2025-05-31,3.1706,3.667,Horror
1368830,Chers parents,2026-02-25,5.7841,6.438,Comedy
696393,Cold Storage,2026-01-22,9.3056,6.774,Horror
421892,Shrek 5,2027-06-30,9.1184,0.0,Animation
1655554,The Turtle Film,2026-01-01,0.0795,0.0,Unknown
1236153,Mercy,2026-01-19,18.2941,7.066,Science Fiction
858035,Klara and the Sun,2026-10-21,5.858,0.0,Science Fiction
1443961,Rao Bahadur,2026-07-02,2.26,0.0,Fantasy
1285959,The Passenger,2026-06-05,4.9973,5.477,Thriller
1594694,Lydia and the Mist Rider,2026-02-20,4.3521,7.0,Animation
1239193,Deep Cover,2025-06-12,6.064,6.699,Action
1114967,Good Fortune,2025-10-14,4.5862,6.906,Comedy
1359005,Per Aspera Ad Astra,2026-02-17,6.8959,7.9,Drama
1698856,Master of the Universe,2026-05-22,3.5889,4.5,Adventure
1102883,Mother Mary,2026-04-16,7.7005,5.687,Music
1724097,庄蹻演义,2026-07-01,0.0,0.0,Unknown
1144107,The Legend of Hei 2,2025-07-18,14.8936,8.5,Animation
1283515,Verity,2026-09-30,4.4295,0.0,Mystery
1632334,Kraken. El libro negro de las horas,2026-03-13,5.8746,5.2,Crime
1337592,Erupcja,2026-04-17,1.9524,6.077,Drama
1558796,Never Change!,2026-06-09,10.0545,6.423,Comedy
1671548,Dear You,2026-04-30,30.6346,9.186,Drama
1369286,What is Love?,2026-05-06,0.6563,6.2,Comedy
939243,Sonic the Hedgehog 3,2024-12-19,23.0287,7.6,Action
933260,The Substance,2024-09-07,27.7745,7.132,Horror
1102883,Mother Mary,2026-04-16,7.7005,5.687,Music
1724097,庄蹻演义,2026-07-01,0.0,0.0,Unknown
1144107,The Legend of Hei 2,2025-07-18,14.8936,8.5,Animation
1283515,Verity,2026-09-30,4.4295,0.0,Mystery
1632334,Kraken. El libro negro de las horas,2026-03-13,5.8746,5.2,Crime
1558796,Never Change!,2026-06-09,10.0545,6.423,Comedy
1369286,What is Love?,2026-05-06,0.6563,6.2,Comedy
939243,Sonic the Hedgehog 3,2024-12-19,23.0287,7.6,Action
1542261,Doraemon the Movie: New Nobita and the Castle of the Undersea Devil,2026-02-27,9.9797,7.5,Animation
1035048,Elevation,2024-11-07,9.6892,6.4,Action
1038392,The Conjuring: Last Rites,2025-09-03,30.1764,6.937,Horror
1662350,Midnight Elevator,2026-04-04,3.4115,3.0,Thriller
1706919,The Ghost in the Shell,2026-06-26,1.4856,7.0,Animation
1061798,Jim Queen,2026-06-17,6.5569,8.061,Animation
1710107,Diary of Evil Deeds,2026-06-30,0.4811,0.0,Comedy
1226834,This Tempting Madness,2026-06-12,2.6023,7.0,Thriller
1705729,Man of War,2026-07-03,1.8436,0.0,Action
1291335,Solo Mio,2026-02-05,8.4559,7.245,Romance
1609125,The Butcher's Blade,2026-01-08,2.2828,6.6,Action
1510767,Athiradi,2026-05-14,14.487,6.591,Comedy
1456349,It Was Just an Accident,2025-10-01,5.2061,7.1,Drama
898704,Desert Warrior,2026-04-23,6.7097,5.717,History
1214684,Kiss of the Spider Woman,2025-10-09,5.8527,6.1,Romance
1556616,Summer House,2026-06-06,24.2711,7.6,Romance
1084187,Pretty Lethal,2026-03-13,58.7221,6.759,Action
541671,Ballerina,2025-06-04,21.1657,7.3,Action
840705,Blink Twice,2024-08-21,8.37,6.686,Mystery
1219548,The Physician II,2025-12-25,4.2391,6.403,Adventure
803796,KPop Demon Hunters,2025-06-20,39.8739,8.021,Fantasy
1572007,Cards & Cognac,2025-11-20,1.03,0.0,Drama
1192730,The Mother and the Bear,2026-01-02,0.5095,0.0,Comedy
1400357,The Christophers,2026-03-30,4.6818,6.8,Crime
445466,Idiots,2026-08-27,4.8854,0.0,Comedy
1604133,Crossing,2026-06-26,3.3651,4.7,History
1699155,Maternal Instinct,2026-06-11,27.2841,7.112,Documentary
1083884,Signal One,2026-06-05,38.7485,6.7,Mystery
558449,Gladiator II,2024-11-13,12.2803,6.6,Action
1156593,Your Fault,2024-12-26,27.674,7.084,Drama
701387,Bugonia,2025-10-23,12.6189,7.313,Science Fiction
1107166,Psycho Killer,2026-02-19,7.2762,6.438,Crime
1218925,Chainsaw Man - The Movie: Reze Arc,2025-09-19,29.4321,8.4,Animation
1353926,Keep Real,2026-07-03,1.1605,0.0,Drama
1167307,David,2025-12-14,31.5436,8.029,Animation
1278853,Woodwalkers 2,2026-01-29,3.6975,6.8,Fantasy
1255833,Whalefall,2026-10-14,2.2471,0.0,Thriller
1187326,Tad and The Magic Lamp,2026-08-26,2.5142,0.0,Animation
1422562,The Moment,2026-01-30,4.0639,6.4,Music
939243,Sonic the Hedgehog 3,2024-12-19,23.0287,7.6,Action
1038392,The Conjuring: Last Rites,2025-09-03,30.1764,6.937,Horror
533533,TRON: Ares,2025-10-08,17.1965,6.494,Science Fiction
1284493,Haunted Minds,2025-09-17,1.2471,5.294,Drama
